B-00091,1,Brinco fumê com base oval e pendente ova,32.00,70.00,,kg,71171900,Brinco,0.013,,
B-00092,1,Brinco dourado com base oval e pendente ,32.00,70.00,,kg,71171900,Brinco,0.013,,
B-00093,1,Brinco fumê 3 elos cravejado com zirconi,64.60,140.00,,kg,71171900,Brinco,0.009,,
B-00094,1,Brinco fumê com pendende de gota com zir,44.50,97.00,,kg,71171900,Brinco,0.011,,
B-00097,1,Brinco fumê com base floral e pendende f,23.00,50.00,,kg,71171900,Brinco,0.014,,
B-00098,1,Brinco fumê com 3 pendentes,29.50,64.00,,kg,71171900,Brinco,0.010,,
B-00099,1,Brinco fumê com canutilho e pendente V,32.00,70.00,,kg,71171900,Brinco,0.100,,
B-00101,1,Brinco fumê com base gota e pendente fum,54.50,118.00,,kg,71171900,Brinco,0.023,,
B-00103,1,Brinco fumê vazado indiano em formato de,30.00,65.00,,kg,71171900,Brinco,0.080,,
BR-00001,2,Bracelete dourado com perola grande,12.90,140.00,,kg,71171900,Pulseiras,0.025,,
BR-00002,2,Bracelete italiano rose,79.00,86.00,,kg,71171900,Pulseiras,0.005,,
BR-00003,2,Bracelete italiano fumê,79.00,86.00,,kg,71171900,Pulseiras,0.006,,
BR-00004,2,Bracelete italiano dourado com trevo com,151.00,162.00,,kg,71171900,Pulseiras,0.007,,
BR-00005,2,Bracelete italiano rose com trevo com zi,149.00,162.00,,kg,71171900,Pulseiras,0.006,,
BR-00007,2,Bracelete italiano dourado com quadrado ,149.00,162.00,,kg,71171900,Pulseiras,0.008,,
BR-00008,2,Bracelete italiano rose com circulo prat,171.00,78.00,,kg,71171900,Pulseiras,0.005,,
BR-00009,2,Bracelete italiano fumê com circulo prat,71.80,78.00,,kg,71171900,Pulseiras,0.006,,
BR-00010,2,Bracelete italiano de fio prata com deta,45.20,49.00,,kg,71171900,Pulseiras,0.006,,
BR-00011,2,Bracelete italiano preto com fivela prat,85.80,93.00,,kg,71171900,Pulseiras,0.011,,
BR-00012,2,Bracelete italiano prata com fivela prat,85.80,94.00,,kg,71171900,Pulseiras,0.011,,
BR-00013,2,Bracelete italiano rose com fivela prata,85.50,93.00,,kg,71171900,Pulseiras,0.011,,
BR-00013,2,Bracelete dourado com pedra branca,119.00,74.00,,kg,71171900,Pulseiras,0.200,,
BR-00014,2,Bracelete italiano prata com detalhe de ,149.00,59.00,,kg,71171900,Pulseiras,0.005,,
BR-00015,2,Bracelete italiano preto com detalhe de ,5.44,59.00,,kg,71171900,Pulseiras,0.005,,
BR-00016,2,Bracelete italiano preto com detalhe tri,83.80,91.00,,kg,71171900,Pulseiras,0.015,,
BR-00017,2,Bracelete italiano dourado envelhecido c,50.00,54.00,,kg,71171900,Pulseiras,0.009,,
BR-00018,2,Bracelete italiano de fio preto com deta,79.80,87.00,,kg,71171900,Pulseiras,0.008,,
C-00001,2,Colar dourado com pingente de cruz,56.00,53.00,,kg,71171900,Colares,0.200,,
C-00002,1,Colar dourado três elos,34.50,45.00,,kg,71171900,Colares,0.200,,
C-00003,1,Colar dourado com pingente de bola,79.00,52.00,,kg,71171900,Colares,0.200,,
C-00004,2,Colar dourado cruz fixa lisa,5.60,45.00,,kg,71171900,Colares,0.200,,
C-00005,0,Colar dourado cruz cravejada de zircônia,,52.00,,kg,71171900,Colares,0.200,,
C-00006,2,Colar com pingente de cruz ,69.00,45.00,,kg,71171900,Colares,0.100,,
C-00007,1,Colar dourado de terço com cruz,27.25,71.00,,kg,71171900,Colares,0.200,,
C-00008,2,Colar dourado de terço bolinha,58.00,65.00,,kg,71171900,Colares,0.300,,
C-00009,2,Colar dourado com pingente de Ave Maria ,128.00,83.00,,kg,71171900,Colares,0.200,,
C-00010,2,Colar dourado com pingente vazado,89.00,58.00,,kg,71171900,Colares,0.200,,
C-00011,2,Colar dourado com pingente Pai Nosso,39.00,38.00,,kg,71171900,Colares,0.200,,
C-00012,1,Colar dourado com pingente de menino ,26.00,34.00,,kg,71171900,Colares,0.100,,
C-00013,2,Pingente dourado de menina,40.00,38.00,,kg,71171900,Colares,0.100,,
C-00014,2,Colar dourado com pingente de menino ,38.00,32.00,,kg,71171900,Colares,0.200,,
C-00015,2,Colar com pingente de menina grande,38.00,32.00,,kg,71171900,Colares,0.300,,
C-00019,2,Colar dourado pingente coração,30.00,32.00,,kg,71171900,Colares,0.200,,
C-00020,2,Colar dourado com pingente de flor,119.00,117.00,,kg,71171900,Colares,0.300,,
C-00021,2,Colar dourado com pingente de flor,179.00,117.00,,kg,71171900,Colares,0.200,,
C-00022,2,Colar dourado com pingente círculos,109.00,71.00,,kg,71171900,Colares,0.300,,
C-00023,2,Colar dourado de madre pérola e zircônia,9.80,65.00,,kg,71171900,Colares,0.300,,
C-00024,1,Colar fumê com pingente de cruz,39.50,52.00,,kg,71171900,Colares,0.200,,
C-00025,2,Colar com pingente de Nossa Senh,34.00,32.00,,kg,71171900,Colares,0.100,,
C-00026,2,Colar dourado com pingente de Nossa Sen,129.00,84.00,,kg,71171900,Colares,0.400,,
C-00027,2,Colar com pingente de Nossa Senhora,149.00,97.00,,kg,71171900,Colares,0.400,,
C-00028,2,Colar com pingente oval Nossa Senhora,56.00,37.00,,kg,71171900,Colares,0.300,,
C-00029,1,Colar de couro com canutilhos dourados,42.00,55.00,,kg,71171900,Colares,0.300,,
C-00030,2,Colar de bolinhas verdes e folhas ,5.00,32.00,,kg,71171900,Colares,0.300,,
C-00031,2,Colar de bolinhas pretas e penas ,49.00,32.00,,kg,71171900,Colares,0.300,,
C-00032,2,Colar de Couro com detalhe triangular,45.00,29.00,,kg,71171900,Colares,0.200,,
C-00033,2,Colar dourado de gotas coloridas,130.00,85.00,,kg,71171900,Colares,0.400,,
C-00034,2,Colar dourado de madre perola com franja,129.00,140.00,,kg,71171900,Colares,0.008,,
C-00034,2,Colar dourado de madre perola com franja,129.00,140.00,,kg,71171900,Colares,0.010,,
C-00035,2,Colar dourado com pingente em gota e zir,89.00,53.00,,kg,71171900,Colares,0.008,,
C-00036,2,Colar fumê com pingente de franjas ,119.00,129.00,,kg,71171900,Colares,0.010,,
C-00037,2,Colar fumê com pingente de coração e zir,99.00,108.00,,kg,71171900,Colares,0.008,,
